post_id,data,post
772886,1663825390,Для телефона андроид не подходит программа?
772886,1663849135,СПБ не посмотреть?
772886,1664159035,"Здравствуйте, что сейчас цветёт? Сильная аллергия , у кого тоже так. Аллергия на берёзу есть"
772864,1663742093,"Мы сейчас в Адлере, дождь +19, а хотелось бы как на картинке. Насморк, небольшой кашель, не понятно аллергия или что еще🤷‍♀️"
772864,1663743420,"Ульяновск. Кашель, насморк."
772864,1663743959,"Москва. Дикие чихи , насморк,глаза чешутся немного. Не понимаю на что реакция"
772864,1663744098,"Зеленоград, хуже, чем вчера, ребенок дома остался. Тот же вопрос - на что реакция?"
772864,1663747284,"Чебоксары, из-за погоды всё спокойно"
772864,1663747704,"Москва, насморк, чихи."
772864,1663750757,Москва: нос заливает на улице.
772864,1663755510,"Были в Белгороде аллергии не было, несмотря на то, что поля рядом с домом. И полынь присутствует. Поехали в Москву - у всех аллергия, только вот непонятно где вообще здесь есть полынь..."
772864,1663757103,"Москва, Московская область. У меня и у мамы почему-то ночью отекли веки. Интересно, что такое в воздухе"
772864,1663761375,"Москва, ребенок 5,5 лет просыпается с забитым хрюкаюшим носом, насморком, в носу оттечность, чихает весь день, днем и вечером нос дышит. Каждое утро повторение."
772864,1663763559,"Магнитогорск.  Чихание,заложенность, течет из носа. С приходом бабьего лета опять пришла аллергия 🤧"
772864,1663771088,"Подмосковье. Пока с таблетками,без них плохо"
772864,1663781531,"Краснодарский край,ребенок 13 лет,с утра чихание ,на весь день,к вечеру лучше,принимает Назанекс+ Лоратадин"
772864,1663795626,"Москва, отлично"
772864,1663831989,Ставрополь. Затяжной дождь. Симптомов нет.
772864,1663842132,"Уфа. Чихаю. И это не насморк. В том году ближе к октябрю так было. Не понятно на что. По пробам есть реакция на Полынь, Подсолнух, Циклохен, и немного Амброзия."
772864,1663844028,"Какая-та хрень у дочери березовика (мо). После орви нос как аллергический, гундосит, чешет, течет. Листья березовые что ли гниют падают, говорят на них бывает реакция"
772864,1663847126,"Кемер, все супер, после приезда сюда все симптомы прошли за два дня полностью"
772864,1663869024,Стандартно: полетела листва и мой березовик весь в соплях. Но может и вирус. Московская область. Юго-восток
772864,1663876725,Плесень сейчас вероятно
772864,1663881485,Ребенок кашляет. Тверь.
772864,1663910724,"Москва, ребенок закашливается, сопли ручьем(. Врач направил в Спиранского , подозрения на астму😰."
772829,1663650311,"Подсела на сосудосуживающие капли. Теперь я наркоман😰😰🤧🤧🤧Могу чихнуть сейчас так, что аж искры из глаз. Немного насморк. Запахи не ощущаю. 

При этом я считаю себя адекватным человеком, трудоспособным. АГ пью редко, 2 раза в неделю."
772829,1663655275,Зеленоград. Реагируем... (
772829,1663655724,Рязань реагируем
772829,1663656710,"Мо, березовик реагирует непонятно на что("
772829,1663657325,"Зеленоград, береза и альтернария, с субботы ребёнок гнусавит, хотя сидит на сингуляре и назонексе"
772829,1663688774,С субботы  дочь реагирует...
772829,1663689791,"Москва. На что реакция непонятно. Отекают веки (как на берёзу весной), чихаю и кашляю. Пью сингуляр."
772829,1663696808,"Брянск. Ребенок ( берёза, злаки ) с субботы небольшая осиплость голоса и кашель. Принимаем АГ.  Каждый год в это время такая реакция, не могу понять на что"
772829,1663697914,Ярославль. Норм. В этом году полынь как-то легко прошла
772829,1663703195,"Зеленоград. Дочь березовик реагирует непонятно на что(((
С утра чих, кашель, трет нос и глаза😭"
772829,1663703237,"Кто-нибудь, проясните пожалуйста, что сейчас цветёт в Москве и области??? 🙏🙏🙏"
772829,1663745832,"Уфа что цветет?сын 4 года кашель, насморк"
772829,1663795808,"Москва, отлично. Все кто не знает на , что у вас аллергия, то это береза потому что, я не березовик и нет аллергии. У меня на полынь и амброзия."
772829,1663869293,"Есть вероятность, что это орешник зацвел"
772775,1663531267,"Ни одного комментария, у всех всё хорошо, это здорово😊👏"
772775,1663537675,Москва. Зудят глаза уже неделю. Не пойму что цветет. Полынь уже ушла. Или еще нет?
772775,1663564923,"Москва. У ребёнка красноватые глаза и часто моргает. То ли нервный тик, то ли аллергия."
772775,1663570044,Спб. Зуд и отёк глаз второй день.
772775,1663582320,Полуостров Гамова?) Приморье 😍
772775,1663595000,Чебоксары. Ребенок уже 3 недели с постназальным затёком (( По анализам среди прочего аллергия на alternaria alternata.
772775,1663878840,"Краснодар. Слезы, заложенный нос уже 2 месяца"
772689,1663427937,Аллергики отдыхают 😌
772689,1663472856,У меня на удивление реакция на грибок этой осенью 🤧 за этот год очень сильно разрослась реакция на все
772539,1663311093,А я зашла в приложение и там все по нулям. Это баг или реально все по нулям?
772539,1663312530,"Отлично в  Подмосковье,наконец дышу на 100 процентов,воздух влажный"
772539,1663312929,"На улице закладывает нос, МО, от влажности наверное"
772539,1663313471,"Саратов. Не очень. Не понятно простуда или аллергия, так как проявления сильные, но как при аллергии в первой половине дня. Насморк, чихание, чешется горло."
772539,1663317027,"МО, наконец-то глаза здорового, человеческого вида🥳"
772539,1663335860,"Москва. На улице дождь дождливый, а я чихаю.  (Полынь)."
772539,1663338761,"В Москве еще и полынь и амброзия, но уже минимальные концентрации https://allergo.space/pollen-monitoring/"
772539,1663348454,Москва. Так в мае не маялась как сейчас.
772539,1663349759,"Москва. У детей с 1сентября все хуже и хуже. Поливалентники, обычно к осени все заканчивалось."
772539,1663350208,Спб. Вечером дома мгновенно заложило нос. Вся в непонимании.
772539,1663350330,Псков. Периодически пшикаю сальбутамол.  Резко начинаю задыхаться. Что это не знаю.
772539,1663354096,"Сын 3-ю неделю с насморком, назонекс не помогает, начал пить цетрин, тоже ни о чем. Москва"
772539,1663429783,"Казань. С середины августа всё отлично 🙌 Аллергия на злаковые, молочку"
772539,1663938085,А в Кемере все отлично......
772470,1663248177,Краснодар. Немного чихаю. Я уже не понимаю свой организм (((
772399,1663135233,Москва. С утра заложило нос как только открыла окно.
772399,1663149321,Москва. Реакция похлеще чем весной была. Не знаю на что это так. Причем у двух членов семьи. Березовиков. Одинаково. Началось в 20х числах августа. Потом лучше стало на базе. А вот дня три как опять жуть.
772399,1663149529,"Ульяновск, на базе улучшения, остался зуд глаз"
772399,1663160642,"Обнинск, сегодня сильно чешутся глаза и потек нос, вообще аллергия на березу, неотчетлив это сейчас, непонятно…"
772399,1663164549,"Самара. На что сейчас может быть реакция? Сын 3,4 г. берёзовик, думала что весной отмечались, а тут 2 недели ужаса…"
772399,1663215229,"Москва, нет реакций. Дышу вторую неделю🙋"
772399,1663253172,"Москва. Приехали с Крыма , у сына березовика непонятно на что реакция. Чешутся глаза и полкашливание (("
772359,1663055316,"Почему-то очень нос закладывает к вечеру.. Хотя уже хотела базовую терапию прекращать. В августе прекрасно себя чувствовала, а тут на тебе, уже почти неделю ужасное состояние. И не понимаю, с чем связано ((("
772359,1663055858,Мне кажется весной даже лучше было. 😔
772359,1663068715,опять пришла пора гадания на кофейной гуще - простудные сопли или аллергические🙄
772359,1663090728,"Псков. Холодина,  простуды. А сейчас ещё и задыхаться стала.  Сальбутамолом пшикаю. Нос закладывает, но это может от холода.  Не знаю на что аллергия, может на плесень? Когда уже отопление включат...😒"
772359,1663140741,"Аналогично)) и также у родственников без аллергии))
Думаю, что у всех до сих пор что-то подобное акклиматизации - было +30 и резко +5"
772359,1663156311,Омск все супер. Отпустило вроде .
772359,1663163441,"Рязань.У сына сильная заложенность,лекарства помогают на короткий срок((давно так тяжело ребёнку не было..."
772312,1662989922,"Вологодская обл., есть першение в горле, небольшой кашель((("
772312,1663007199,Зеленоград сын вернулся из школы и снова першение и сухой кашель
772312,1663020577,Москва. Улицы поливают какимто средством пенящимся. Трактор ездил с утра по дворам. Вышли на улицу и в носу и горле жжение у меня. Пришли и бегом умываться и промывать носы. Дурдом.
772312,1663346982,"А что происходит? У нас раньше осенью всё было спокойно, а сейчас у ребёнка сильная аллергия. Опять принимает лекарства, как весной (((( в период березы. Мы в Москве"
772224,1662883551,Рязанская область: второй день дышится как то тяжеловато и лицо отекло прилично😢
772224,1662898626,вчера и сегодня всё неплохо: потеплело (москва)
772224,1662906831,Ниж.нов. 2й день вынужден пить АГ. Зуд и не прерывное желание высморкаться.
772224,1662991705,"Ульяновск. Зуд глаз, насморк, кашель"
772188,1662791194,"Москва. Ужасное состояние, ночью окончательно заложило нос и отдышка появилась 😰 После банального супрастина стало полегче. Видимо, на листву реакция пошла и грибок. 😞"
772188,1662802887,Москва чихает и шмыгает носом.
772188,1662807661,Зеленоград чихаю и нос заложен (
772188,1662808026,"Тольятти (Самарская область), почти всё прошло. Обычно чихаю на полынь и амброзию."
772188,1662810811,"Москва: если не в центре, то заливает за 5 минут. В центре легче: бетон."
772188,1662826881,Нормально- ковид
772188,1662840849,"В СПб сынок реагирует впервые весь сентябрь, аллергия на пыльцу только по анализам, даже не знаю что и думать…"
772188,1662906759,"Нижний Новгород.  С 10 сент полн. пи...ц.
Очень сильный зуд."
772188,1663219974,Москва нос закладывает. И состояние не очень.
772104,1662704718,Москва. Нос не дышит 😕
772104,1662706686,"МО глаз красный, нос не дышит, голос севший"
772104,1662707183,"Саратов. Лучше чем в августе. Возможно ли такое, что на полынь аллергия есть, а на амброзию прошла)? Думаю, нет. Реакция есть в виде небольшого насморка и периодических чихов, но не сравнить с августом."
772104,1662709099,"Надеюсь, что скоро эта дрянь уйдёт. 
Глаза немного тру. Нос не дышит. Мелочи жизни"
772104,1662741192,"Уфа, дожди, аллергия меньше, но пошли орз😭😭"
772104,1662751487,"Москва. Глаза стали реагировать как весной на берёзу. Нос не дышит. Горло воспалено. Вообще ничего не понимаю, на что я могу так реагировать!😔"
772104,1662800819,"Химки. Ребенок до сих пор по утрам просыпается с отеком, чихание. Так все лето. И вроде уже похолодало. Но все продолжается. Что это, не пойму"
772039,1662615187,Все замечательно)
772039,1662617131,"Липецк. У дочки сегодня не очень, нос чешется с утра  чихает, Аллергия на травы."
772039,1662617629,утро началось с насморка
772039,1662619199,Краснодар . Амброзия сегодня злая 👹
772039,1662619201,"Калининград, зудят глаза, нос уже неделю."
772039,1662621227,"Керчь, амброзия. Паршивое состояние"
772039,1662640904,Краснодар. Немного насморк. Мелочи жизни
772039,1662658318,"Спб. Подстригают газоны, нос на чеку."
772039,1662674534,"Краснодар,насморк очень сильный😒,а в том году осень прекрасно прошла."
772039,1662689242,Красноярск. У ребёнка стало закладывать нос ? Вроде ж все отцвело ? Кто знает на что может быть ?
772039,1662887787,"Владивосток, амброзия пылит, глаза чешутся"
771970,1662552467,"МО аллергия обычно весной на ольху-березу. А в этом году с похолоданием стало плохо, чихаю, сопли, красные глаза, утомляемость. Перекрест даёт реакцию на яблоки, персики. Обычно осенью все прекрасно..."
771970,1662558228,В Сочи амброзия полным ходом сегодня очень сильно задувает её сюда. Состояние жуть👹
771970,1662565154,"Добрый вечер, подскажите, пожалуйста, как в Абхазии сейчас с аллергией на амброзию."
771970,1662570331,"Керчь, на улице холодно, амброзия не унимается. Полчаса на улице. Глаза болят, нос заложен, кашель. Заметила, что чешется всегда один глаз. Хотя врач недавно уверяла меня(окулист), что, если краснеет и зудит один глаз, то это не аллергия."
771970,1662570904,Спб. Третий день к вечеру отек носа. Ничего не понимаю.
771970,1662579274,"Москва, лоратадин."
771970,1662589741,"Ленинградская область, чихаю уже неделю, а сегодня ещё и глаза чешутся."
771970,1662665030,"Краснодар. Похолодало, легче. Дочь ещё чихает и глаза чешутся. Но уже без ингаляций, обходимся каплями, дыхание нормальное. Дожди начнутся, станет совсем хорошо."
771970,1663002188,"Рязань,сын астматик опять на базе,как весной😞"
771970,1663003340,"Сочи ,глаза,нос,чихаем,зиртек…("
771903,1662458864,"Курск. Вчера к вечеру у сына глаза чуть отекшие, и ночью просыпался, не спал в течение часа, нос не дышал. В школу ходит."
771903,1662460604,"Краснодар. Слегка красные глаза, капаю дексаметазон. Капли в нос сусодосуживающие, ибо нос не дышит и отекший. Запахи не ощущаю. А так.... Ощущаю себя прекрасно! Всё хорошо, я не инвалид, работаю. Таблетки не пью никакие. Это круто для меня! Я живая!"
771903,1662469474,"Чебоксары второй день дожди, пыльцу хоть немного смыло, и странно нос прошел, думаю не совпадение а взаимосвязь с пыльцой. До встречи весной!"
771849,1662367495,"Доброе утро. Какие-то последствия после августовской простуды. Сопли желто-зеленые. Первый раз такие за 27 лет аллергии в это время,  как при майской березовой и всякой другой пыльцы. Сейчас в Чебоксарах ничо такого не цветёт 🤷🏻‍♂️. Что-то новенькое. Может корона-вирусная какая-то фигня🤷🏻‍♂️"
771849,1662369282,"Мытищи. После продолжительной жары +30, температура, за считанные часы, приближалась к нулевой отметке. В связи с чем произошла оклиматизация. В процессе которой, самочувствие несколько ухудшилось. Головокружение, напоминающее  алкогольное отравление."
771849,1662373504,"Краснодар , с похолоданием амброзия сошла с ума, я сегодня почувствовала ее впервые так остро за сезон , печёт в носу , покалывают глаза . Асит -сила"
